SWITCH,MAC,INTERFACE,VLAN,IP,VENDOR,CDP_PLATFORM,CDP_HOSTNAME,STATIC IP or DHCP,Cisco Comments,Customer Comments,Fabric IP (Old/New/Remove)
site1_switch1,2852.610c.5cb7,Port-channel1,312,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,313,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,313,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,314,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,314,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,315,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,315,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,316,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,316,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,317,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,317,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,318,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,318,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,319,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,319,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,320,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,320,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,321,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,321,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,322,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,322,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,323,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,323,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,324,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,324,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,325,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,325,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,326,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,326,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,327,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,327,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,328,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,328,,"Cisco Systems, Inc",,, , ,, 
site1_switch2,2c0b.e992.db37,Port-channel1,1,,"Cisco Systems, Inc",,, , ,, 
site1_switch2,2c0b.e992.db38,Port-channel1,1,,"Cisco Systems, Inc",,, , ,, 
site1_switch2,001b.1700.0110,Port-channel1,201,10.91.146.30,Palo Alto Networks,,, , ,, 
site1_switch2,006b.f170.da40,Port-channel1,201,10.91.146.40,"Cisco Systems, Inc",,, , ,, 
site1_switch2,006b.f18c.9e7c,Port-channel1,201,10.91.146.41,"Cisco Systems, Inc",,, , ,, 
site1_switch2,006b.f18c.a48c,Port-channel1,201,10.91.146.31,"Cisco Systems, Inc",,, , ,, 
site1_switch2,006b.f19c.c0b4,Port-channel1,201,10.91.146.77,"Cisco Systems, Inc",,, , ,, 
site1_switch2,006b.f19c.c460,Port-channel1,201,10.91.146.240,"Cisco Systems, Inc",,, , ,, 
site1_switch2,2852.610c.5ccc,Vlan201,201,10.91.146.10,"Cisco Systems, Inc",,, , ,, 
site1_switch2,2c0b.e992.db4c,Port-channel1,201,10.91.146.1,"Cisco Systems, Inc",,, , ,, 
site1_switch2,3c58.c239.0b66,Port-channel1,201,10.91.146.233,Intel Corporate,,, , ,, 
site1_switch2,50e0.8535.79d8,Port-channel1,201,10.91.146.109,Intel Corporate,,, , ,, 
site1_switch2,a44c.c84b.ea69,Port-channel1,201,10.91.146.160,Dell Inc.,,, , ,, 
site1_switch2,0015.5d0a.1e0c,GigabitEthernet1/0/11,302,,Microsoft Corporation,,, , ,, 
site1_switch2,0015.5d0a.1e60,GigabitEthernet1/0/11,302,,Microsoft Corporation,,, , ,, 
site1_switch2,0015.5d0a.1e63,GigabitEthernet1/0/11,302,,Microsoft Corporation,,, , ,, 
site1_switch2,001b.1700.0111,Port-channel1,302,,Palo Alto Networks,,, , ,, 
